id|name|ancestors
dhqz278i7TV|Xã Đồng Phúc|Việt Nam/Bắc Kạn/Huyện Ba Bể

bnz1gqtSHSW|Xã Địa Linh|Việt Nam/Bắc Kạn/Huyện Ba Bể

jzkGrSPshoZ|Xã Yến Dương|Việt Nam/Bắc Kạn/Huyện Ba Bể

uSnyLheHHAy|Xã Thượng Giáo|Việt Nam/Bắc Kạn/Huyện Ba Bể

gumuKuEvxAd|Xã Quảng Khê|Việt Nam/Bắc Kạn/Huyện Ba Bể

gZXmN2iMuB0|Xã Phúc Lộc|Việt Nam/Bắc Kạn/Huyện Ba Bể

eV5KBi5LVMN|Xã Nam Mẫu|Việt Nam/Bắc Kạn/Huyện Ba Bể

yWIZ1BIioLV|Xã Mỹ Phương|Việt Nam/Bắc Kạn/Huyện Ba Bể

RZtMHHOWl4g|Xã Khang Ninh|Việt Nam/Bắc Kạn/Huyện Ba Bể

zQcD6tPS8Ie|Xã Hà Hiệu|Việt Nam/Bắc Kạn/Huyện Ba Bể

Do7t27zIDhj|Xã Hoàng Trĩ|Việt Nam/Bắc Kạn/Huyện Ba Bể

UOBq2ouKMWs|Xã Chu Hương|Việt Nam/Bắc Kạn/Huyện Ba Bể

Up4VmssyCKu|Xã Cao Thượng|Việt Nam/Bắc Kạn/Huyện Ba Bể

eSd3eAn4Dzb|Xã Bành Trạch|Việt Nam/Bắc Kạn/Huyện Ba Bể

gjru9ZhogyV|TTYT Huyện Ba Bể|Việt Nam/Bắc Kạn/Huyện Ba Bể

UcsUQmTPIY1|Thị trấn Chợ Rã|Việt Nam/Bắc Kạn/Huyện Ba Bể

LCEsRwCLmAe|PYT Huyện Ba Bể|Việt Nam/Bắc Kạn/Huyện Ba Bể

dY1Pl2Yf7jI|Xã Đôn Phong|Việt Nam/Bắc Kạn/Huyện Bạch Thông

Bezjxbjys6l|Xã Vũ Muộn|Việt Nam/Bắc Kạn/Huyện Bạch Thông

R4Ct6VGp7ZX|Xã Vi Hương|Việt Nam/Bắc Kạn/Huyện Bạch Thông

xunBEyWLztj|Xã Tân Tú|Việt Nam/Bắc Kạn/Huyện Bạch Thông

xLMg2cWlAnd|Xã Sĩ Bình|Việt Nam/Bắc Kạn/Huyện Bạch Thông

DwNPEXzJxKg|Xã Quân Hà|Việt Nam/Bắc Kạn/Huyện Bạch Thông

mTgk9byN7DT|Xã Quang Thuận|Việt Nam/Bắc Kạn/Huyện Bạch Thông

LRZcjmM6neK|Xã Nguyên Phúc|Việt Nam/Bắc Kạn/Huyện Bạch Thông

HpwMF0DVXKM|Xã Mỹ Thanh|Việt Nam/Bắc Kạn/Huyện Bạch Thông

c3aEDqLnF4b|Xã Lục Bình|Việt Nam/Bắc Kạn/Huyện Bạch Thông

RHbZ4f8UqTR|Xã Dương Phong|Việt Nam/Bắc Kạn/Huyện Bạch Thông

tzB2IKSs4sm|Xã Cẩm Giàng|Việt Nam/Bắc Kạn/Huyện Bạch Thông

iN6AyongIE6|Xã Cao Sơn|Việt Nam/Bắc Kạn/Huyện Bạch Thông

bOzDq38iPSr|TTYT Huyện Bạch Thông|Việt Nam/Bắc Kạn/Huyện Bạch Thông

fWzwpqwefkA|Thị trấn Phủ Thông|Việt Nam/Bắc Kạn/Huyện Bạch Thông

mXPn6W0S1nc|PYT Huyện Bạch Thông|Việt Nam/Bắc Kạn/Huyện Bạch Thông

FIBtc7CIu2H|Xã Yên Hân|Việt Nam/Bắc Kạn/Huyện Chợ Mới

bMHoBfsRFSa|Xã Yên Cư|Việt Nam/Bắc Kạn/Huyện Chợ Mới

SVx6SbKkyiC|Xã Tân Sơn|Việt Nam/Bắc Kạn/Huyện Chợ Mới

jS2uLjEw6Ci|Xã Thanh Vận|Việt Nam/Bắc Kạn/Huyện Chợ Mới

d3QrL83ZA1W|Xã Thanh Thịnh|Việt Nam/Bắc Kạn/Huyện Chợ Mới

Vl2sohrAs4X|Xã Thanh Mai|Việt Nam/Bắc Kạn/Huyện Chợ Mới

LBGZbBxS2uJ|Xã Quảng Chu|Việt Nam/Bắc Kạn/Huyện Chợ Mới

gZWYw4trffa|Xã Nông Hạ|Việt Nam/Bắc Kạn/Huyện Chợ Mới

zsacH33Z1Pe|Xã Như Cố|Việt Nam/Bắc Kạn/Huyện Chợ Mới

puc3bzv6lP6|Xã Mai Lạp|Việt Nam/Bắc Kạn/Huyện Chợ Mới

fPTDlMyGMTl|Xã Hòa Mục|Việt Nam/Bắc Kạn/Huyện Chợ Mới

Q9jAjPsX8XH|Xã Cao Kỳ|Việt Nam/Bắc Kạn/Huyện Chợ Mới

NGW5gAUINg7|Xã Bình Văn|Việt Nam/Bắc Kạn/Huyện Chợ Mới

ewdD9InVlmd|TTYT Huyện Chợ Mới|Việt Nam/Bắc Kạn/Huyện Chợ Mới

y0qdVvQoQaA|Thị trấn Đồng Tâm|Việt Nam/Bắc Kạn/Huyện Chợ Mới

biruoIvOj83|PYT Huyện Chợ Mới|Việt Nam/Bắc Kạn/Huyện Chợ Mới

tPPcnyvQZk9|Xã Đồng Thắng|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

PgimW3DchXy|Xã Đồng Lạc|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

qCRlyFouD1U|Xã Đại Sảo|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

zLe85y7i9hO|Xã Yên Thịnh|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

Zg1i43eq758|Xã Yên Thượng|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

uIuzM0h7tDJ|Xã Yên Phong|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

avNuefOY4ul|Xã Yên Mỹ|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

YlvrifoCPTX|Xã Xuân Lạc|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

pChGX4O76oL|Xã Tân Lập|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

WaF7IzxS7qy|Xã Quảng Bạch|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

LMUUx76sCoo|Xã Phương Viên|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

v6C0ufYyren|Xã Ngọc Phái|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

yD5YA3ke3Or|Xã Nghĩa Tá|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

oux8Wo7yD6m|Xã Nam Cường|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

NqpG4ibFi76|Xã Lương Bằng|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

rRIa74zAmC8|Xã Bằng Phúc|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

T24ZpZMgdVn|Xã Bằng Lãng|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

wBuwuXJ3qGL|Xã Bản Thi|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

F4SuGaB3kEf|Xã Bình Trung|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

SX7MP3hsSYR|TTYT Huyện Chợ Đồn|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

dTMPb4rWrgR|Thị trấn Bằng Lũng|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

XuGg0licxse|PYT Huyện Chợ Đồn|Việt Nam/Bắc Kạn/Huyện Chợ Đồn

vZMSk9DIbTr|Xã Đồng Xá|Việt Nam/Bắc Kạn/Huyện Na Rì

p0oSvdVd4Ic|Xã Xuân Dương|Việt Nam/Bắc Kạn/Huyện Na Rì

RsatMxUhYAv|Xã Văn Vũ|Việt Nam/Bắc Kạn/Huyện Na Rì

GrOvzigENgY|Xã Văn Minh|Việt Nam/Bắc Kạn/Huyện Na Rì

TpqPNxOYiSp|Xã Văn Lang|Việt Nam/Bắc Kạn/Huyện Na Rì

szF3pJEj1t4|Xã Trần Phú|Việt Nam/Bắc Kạn/Huyện Na Rì

zMZoigtmXMa|Xã Sơn Thành|Việt Nam/Bắc Kạn/Huyện Na Rì

KtBUK3n5PU2|Xã Quang Phong|Việt Nam/Bắc Kạn/Huyện Na Rì

n9KwjTJekDJ|Xã Lương Thượng|Việt Nam/Bắc Kạn/Huyện Na Rì

Sh2tY0nEjdM|Xã Liêm Thủy|Việt Nam/Bắc Kạn/Huyện Na Rì

y3T7o3coWvQ|Xã Kim Lư|Việt Nam/Bắc Kạn/Huyện Na Rì

ePHXlBDUmBn|Xã Kim Hỷ|Việt Nam/Bắc Kạn/Huyện Na Rì

dpDrIm9bdvO|Xã Dương Sơn|Việt Nam/Bắc Kạn/Huyện Na Rì

pxmeIeTQUiI|Xã Cường Lợi|Việt Nam/Bắc Kạn/Huyện Na Rì

yZxpz9x7KD7|Xã Cư Lễ|Việt Nam/Bắc Kạn/Huyện Na Rì

JANGuos9rSZ|Xã Côn Minh|Việt Nam/Bắc Kạn/Huyện Na Rì

lXuBZSBjqDz|TTYT Huyện Na Rì|Việt Nam/Bắc Kạn/Huyện Na Rì

FJPcTiaV91B|Thị trấn Yến Lạc|Việt Nam/Bắc Kạn/Huyện Na Rì

URIQpixz5VI|PYT Huyện Na Rì|Việt Nam/Bắc Kạn/Huyện Na Rì

TyyvCwwYJHH|Xã Đức Vân|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

rixpW1FqBTz|Xã Vân Tùng|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

sDbDqi1lO2i|Xã Trung Hoà|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

Vq8985PXmBr|Xã Thượng Ân|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

swvyC07fE9h|Xã Thượng Quan|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

Vy3Ag2qgx7V|Xã Thuần Mang|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

mImbPch0ucr|Xã Hiệp Lực|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

eGPyMylXehl|Xã Cốc Đán|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

tvke1xLKa7l|Xã Bằng Vân|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

dotehBUKI5K|TTYT Huyện Ngân Sơn|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

QFWtuVZOuxx|Thị trấn Nà Phặc|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

L2mIl4HSD4Y|PYT Huyện Ngân Sơn|Việt Nam/Bắc Kạn/Huyện Ngân Sơn

jsCjUWPuWy2|Xã Xuân La|Việt Nam/Bắc Kạn/Huyện Pác Nặm

LzdHBMv1CeX|Xã Nhạn Môn|Việt Nam/Bắc Kạn/Huyện Pác Nặm

Ncgoy1hQnPy|Xã Nghiên Loan|Việt Nam/Bắc Kạn/Huyện Pác Nặm

EZCnzzFhyMN|Xã Giáo Hiệu|Việt Nam/Bắc Kạn/Huyện Pác Nặm

LZGulJmXSwS|Xã Cổ Linh|Việt Nam/Bắc Kạn/Huyện Pác Nặm

RcRAOj8mOSg|Xã Công Bằng|Việt Nam/Bắc Kạn/Huyện Pác Nặm

UE2okp3hxad|Xã Cao Tân|Việt Nam/Bắc Kạn/Huyện Pác Nặm

VKUTXa4JxlL|Xã Bộc Bố|Việt Nam/Bắc Kạn/Huyện Pác Nặm

bvqJhESJbsI|Xã Bằng Thành|Việt Nam/Bắc Kạn/Huyện Pác Nặm

qwwzUH2gSG9|Xã An Thắng|Việt Nam/Bắc Kạn/Huyện Pác Nặm

BSD1gqR8fPE|TTYT Huyện Pác Nặm|Việt Nam/Bắc Kạn/Huyện Pác Nặm

KSPj8bLofWk|PYT Huyện Pác Nặm|Việt Nam/Bắc Kạn/Huyện Pác Nặm

QhCwiE3jO2r|Xã Nông Thượng|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

leyU9vD5VA7|Xã Dương Quang|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

nBygPFrSIQU|TTYT Thành Phố Bắc Kạn|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

oUegO5a9gcc|PYT Thị xã Bắc Kạn|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

dUgWnc9AOdV|Phường Đức Xuân|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

AZVWZatl4KM|Phường Xuất Hóa|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

NfRUdE81EN4|Phường Sông Cầu|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

LIwbLVZ8Gz5|Phường Phùng Chí Kiên|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

QKAj50O0r9Q|Phường Nguyễn Thị Minh Khai|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

dmYkl2FfaxI|Phường Huyền Tụng|Việt Nam/Bắc Kạn/Thành Phố Bắc Kạn

