id|name|ancestors
niza9vaXgD5|Xã Tân Hưng|Việt Nam/Bình Dương/Huyện Bàu Bàng

QCDae6sWzU5|Xã Trừ Văn Thố|Việt Nam/Bình Dương/Huyện Bàu Bàng

IVwVcNZvhpI|Xã Long Nguyên|Việt Nam/Bình Dương/Huyện Bàu Bàng

U7LdcgN42R1|Xã Lai Uyên|Việt Nam/Bình Dương/Huyện Bàu Bàng

VXEwIxA4l8P|Xã Lai Hưng|Việt Nam/Bình Dương/Huyện Bàu Bàng

DmADrb9YRJk|xã Hưng Hòa|Việt Nam/Bình Dương/Huyện Bàu Bàng

z4SuM5WqofB|Xã Cây Trường|Việt Nam/Bình Dương/Huyện Bàu Bàng

t5Fidrie5eo|TTYT Huyện Bàu Bàng|Việt Nam/Bình Dương/Huyện Bàu Bàng

H05r2lHSiae|PKĐK Sài Gòn Meidic|Việt Nam/Bình Dương/Huyện Bàu Bàng

sgnRSGkbV4V|PKĐK Sài Gòn Bàu Bàng|Việt Nam/Bình Dương/Huyện Bàu Bàng

NY6l1fs0I9m|PKĐK Ngân Hà|Việt Nam/Bình Dương/Huyện Bàu Bàng

HZjdvllw1Gh|Phòng y tế Huyện Bàu Bàng|Việt Nam/Bình Dương/Huyện Bàu Bàng

GhZrI3MynOP|Phòng khám chuyên khoa huyện Bàu Bàng|Việt Nam/Bình Dương/Huyện Bàu Bàng

cR4Caxj1BJ6|Xã Đất Cuốc|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

bfbwSoFjcDX|Xã Tân Định|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

mb3LRremehL|Xã Tân Thành|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

cCntjtumHHF|Xã Tân Mỹ|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

JRXlom3YvTq|Xã Tân Lập|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

gJTM0iYsFrA|Xã Tân Bình|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

ngENS63AiO2|Xã Thường Tân|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

juOkbOb0aNE|Xã Lạc An|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

gI3dHn4GulH|Xã Hiếu Liêm|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

ZbFngzhwkp0|Xã Bình Mỹ|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

ZQy5OuHWr4O|TTYT Huyện Bắc Tân Uyên|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

I6iWiBWYbg0|Phòng y tế Huyện Bắc Tân Uyên|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

Ut3WZzynnjd|Phòng khám chuyên khoa huyện Bắc Tân Uyên|Việt Nam/Bình Dương/Huyện Bắc Tân Uyên

