id|name|ancestors
Fkr4oH95Erk|Vụ TTB & CTYT|Việt Nam/Các đơn vị thuộc Bộ

nBPfJIfk5wM|Vụ TT&TĐKT|Việt Nam/Các đơn vị thuộc Bộ

cwgABEvhikL|Vụ TCCB|Việt Nam/Các đơn vị thuộc Bộ

szpUAlx9pFW|Vụ SK BMTE|Việt Nam/Các đơn vị thuộc Bộ

VwqVkW8B1gM|Vụ Pháp chế|Việt Nam/Các đơn vị thuộc Bộ

Iby3JidtKp9|Vụ KHTC|Việt Nam/Các đơn vị thuộc Bộ

Y3rTSSXILB3|Vụ HTQT|Việt Nam/Các đơn vị thuộc Bộ

s0zDU2od4dH|Vụ BHYT|Việt Nam/Các đơn vị thuộc Bộ

NN5O0k8tqYf|Văn phòng Bộ|Việt Nam/Các đơn vị thuộc Bộ

tTbsjyGgjp3|Tổng cục DS KHHGĐ|Việt Nam/Các đơn vị thuộc Bộ

JLlgszn1B3N|Thanh tra Bộ|Việt Nam/Các đơn vị thuộc Bộ

HZdF2XeVs5c|Cục YTDP|Việt Nam/Các đơn vị thuộc Bộ

o4HGBqPEBWR|Cục Quản lý Dược|Việt Nam/Các đơn vị thuộc Bộ

MLo2HUxMhT7|Cục QL YDCT|Việt Nam/Các đơn vị thuộc Bộ

XelleUu2LD9|Cục QL MTYT|Việt Nam/Các đơn vị thuộc Bộ

bY3Y84e0QZo|Cục QL KCB|Việt Nam/Các đơn vị thuộc Bộ

l2xhm3bYqHx|Cục PC HIV/AIDS|Việt Nam/Các đơn vị thuộc Bộ

bkaVfr2QF9a|Cục KHCN&ĐT|Việt Nam/Các đơn vị thuộc Bộ

GTVHvbT8asZ|Cục CNTT |Việt Nam/Các đơn vị thuộc Bộ

khILD1S2d81|Cục ATTP|Việt Nam/Các đơn vị thuộc Bộ

