id|name|ancestors
wIalkCzACQj|Xã Hòa Tiến|Việt Nam/Đà Nẵng/Huyện Hòa Vang

gbVsphERWss|Xã Hòa Sơn|Việt Nam/Đà Nẵng/Huyện Hòa Vang

uHWxsxidHC7|Xã Hòa Phước|Việt Nam/Đà Nẵng/Huyện Hòa Vang

FM7qJDqeMHy|Xã Hòa Phú|Việt Nam/Đà Nẵng/Huyện Hòa Vang

hjNrbG13pjM|Xã Hòa Phong|Việt Nam/Đà Nẵng/Huyện Hòa Vang

WScH4nlKM3n|Xã Hòa Ninh|Việt Nam/Đà Nẵng/Huyện Hòa Vang

ROs7d2KcgZY|Xã Hòa Nhơn|Việt Nam/Đà Nẵng/Huyện Hòa Vang

wRi1pfZEV2j|Xã Hòa Liên|Việt Nam/Đà Nẵng/Huyện Hòa Vang

nVXmcjVbnzq|Xã Hòa Khương|Việt Nam/Đà Nẵng/Huyện Hòa Vang

iK3o60855pY|Xã Hòa Châu|Việt Nam/Đà Nẵng/Huyện Hòa Vang

GCJ1R0Mz0dp|Xã Hòa Bắc|Việt Nam/Đà Nẵng/Huyện Hòa Vang

VdDXA128d3v|TTYT Huyện Hòa Vang|Việt Nam/Đà Nẵng/Huyện Hòa Vang

CojKnhd2eWO|PYT Huyện Hòa Vang|Việt Nam/Đà Nẵng/Huyện Hòa Vang

r4cDEYNKzqe|Trạm Y tế xã|Việt Nam/Đà Nẵng/Huyện đảo Hoàng Sa

GxBVwYU8tfT|TTYT Quận Cẩm Lệ|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

SkaeGGFWlln|PYT Quận Cẩm Lệ|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

vD0Cnw7stl0|Phường Khuê Trung|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

jvceaP4qJeG|Phường Hòa Xuân|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

ZN1SxRXkjCj|Phường Hòa Thọ Đông|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

vX0XpAvoNto|Phường Hòa Thọ Tây|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

g2xRUfqVQ2I|Phường Hoà Phát|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

P5k8LFZJIiM|Phường Hoà An|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

HMwpbZTyBmY|Phòng khám đa khoa Hữu Thọ - Công ty TNHH MTV Dịch vụ y tế Hữu Thọ|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

hKfjDcUQrc1|Phòng khám đa khoa Hòa Xuân|Việt Nam/Đà Nẵng/Quận Cẩm Lệ

D45JGT03cHr|TTYT Quận Hải Châu|Việt Nam/Đà Nẵng/Quận Hải Châu

vdZLFbCOS9X|Trung tâm y khoa - Đại học Đà Nẵng|Việt Nam/Đà Nẵng/Quận Hải Châu

nuV6uw0aogl|Trung tâm chẩn đoán y khoa kỹ thuật cao Thiện Nhân|Việt Nam/Đà Nẵng/Quận Hải Châu

