id|name|ancestors
X1KpVMRiqLy|Xã Phong Vân|Việt Nam/Hà Nội/Huyện Ba Vì

I6aHA6GjR2n|Xã Thụy An|Việt Nam/Hà Nội/Huyện Ba Vì

XQOF9CXy8DV|Xã Tiên Phong|Việt Nam/Hà Nội/Huyện Ba Vì

Al3sqqIth4z|Xã Phú Cường|Việt Nam/Hà Nội/Huyện Ba Vì

HVSxcjHkJUz|Xã Phú Châu|Việt Nam/Hà Nội/Huyện Ba Vì

jirA5oRucQC|PKĐK Tản Lĩnh|Việt Nam/Hà Nội/Huyện Ba Vì

xWg79velmXy|Xã Châu Sơn|Việt Nam/Hà Nội/Huyện Ba Vì

ITqOCuATx4v|Xã Ba Trại|Việt Nam/Hà Nội/Huyện Ba Vì

pCGcPmvGNWO|Xã Chu Minh|Việt Nam/Hà Nội/Huyện Ba Vì

GwQfkBxvFzg|Xã Cam Thượng|Việt Nam/Hà Nội/Huyện Ba Vì

VTfm9FTzjH7|Xã Yên Bài|Việt Nam/Hà Nội/Huyện Ba Vì

xP3srHlTkcB|Xã Cẩm Lĩnh|Việt Nam/Hà Nội/Huyện Ba Vì

s1QGel9W4A9|Bệnh viện đa khoa Huyện Ba Vì|Việt Nam/Hà Nội/Huyện Ba Vì

lvS8HdS5Jpt|TTYT Huyện Ba Vì|Việt Nam/Hà Nội/Huyện Ba Vì

DrobIukuXiI|Xã Vật Lại|Việt Nam/Hà Nội/Huyện Ba Vì

leZQ5NnOiEP|Xã Thái Hòa|Việt Nam/Hà Nội/Huyện Ba Vì

BuEZRawClRn|PYT Huyện Ba Vì|Việt Nam/Hà Nội/Huyện Ba Vì

MTjJGnNeMu2|Xã Cổ Đô|Việt Nam/Hà Nội/Huyện Ba Vì

hSWx1XrwGuU|Xã Vạn Thắng|Việt Nam/Hà Nội/Huyện Ba Vì

Tsby6sApHwi|PKĐK Minh Quang|Việt Nam/Hà Nội/Huyện Ba Vì

Ej9qx9mskB2|xã Tây Đằng|Việt Nam/Hà Nội/Huyện Ba Vì

nSWoWnVYRmg|Xã Thuần Mỹ|Việt Nam/Hà Nội/Huyện Ba Vì

cPkWGESkwx6|Xã Minh Châu|Việt Nam/Hà Nội/Huyện Ba Vì

ITDVIlZRD6O|Xã Phú Phương|Việt Nam/Hà Nội/Huyện Ba Vì

iRIdPt17vkE|Xã Tòng Bạt|Việt Nam/Hà Nội/Huyện Ba Vì

XBM8tPSzDe6|Xã Đồng Thái|Việt Nam/Hà Nội/Huyện Ba Vì

exArxNHF2Ec|Xã Minh Quang|Việt Nam/Hà Nội/Huyện Ba Vì

QJQRqbJjaHK|Xã Sơn Đà|Việt Nam/Hà Nội/Huyện Ba Vì

v2CEcoyL5l2|Xã Vân Hoà|Việt Nam/Hà Nội/Huyện Ba Vì

FwRUz2vd9bI|Xã Phú Sơn|Việt Nam/Hà Nội/Huyện Ba Vì

BGHMQvcEaAh|Xã Tản Hồng|Việt Nam/Hà Nội/Huyện Ba Vì

P9rchuCqbdf|PKĐK Bất Bạt|Việt Nam/Hà Nội/Huyện Ba Vì

Ft33IjTSfmM|Xã Ba Vì|Việt Nam/Hà Nội/Huyện Ba Vì

HUEyPlD1cTg|xã  Đông Quang|Việt Nam/Hà Nội/Huyện Ba Vì

ghNmWvgnoE4|Xã Tản Lĩnh|Việt Nam/Hà Nội/Huyện Ba Vì

Iu3oCAQj5hs|Xã Khánh Thượng|Việt Nam/Hà Nội/Huyện Ba Vì

sc6xX1FADyk|Xã Phú Đông|Việt Nam/Hà Nội/Huyện Ba Vì

loq4F7e1P1J|Xã Tốt Động|Việt Nam/Hà Nội/Huyện Chương Mỹ

t8fvWiCegQ5|Thị trấn Xuân Mai|Việt Nam/Hà Nội/Huyện Chương Mỹ

pAFOojoMSBo|Xã Hợp Đồng|Việt Nam/Hà Nội/Huyện Chương Mỹ

z2EySdEsOkz|Xã Tiên Phương|Việt Nam/Hà Nội/Huyện Chương Mỹ

w72oHg2QUI9|Xã Đông Phương Yên|Việt Nam/Hà Nội/Huyện Chương Mỹ

LF8UJvs2QUI|Xã Hữu Văn|Việt Nam/Hà Nội/Huyện Chương Mỹ

RZwnvg5aK8k|Xã Thụy Hương|Việt Nam/Hà Nội/Huyện Chương Mỹ

Vn3G6a06zmZ|Xã Đông Sơn|Việt Nam/Hà Nội/Huyện Chương Mỹ

pWflQr3lM5i|Xã Đại Yên|Việt Nam/Hà Nội/Huyện Chương Mỹ

s8k1XBtYhUD|Xã Thượng Vực|Việt Nam/Hà Nội/Huyện Chương Mỹ

Bb5bvvorxzv|Bệnh viện đa khoa Huyện Chương Mỹ|Việt Nam/Hà Nội/Huyện Chương Mỹ

U5h1rNuBi64|Xã Lam Điền|Việt Nam/Hà Nội/Huyện Chương Mỹ

IExQUKw9JUH|Xã Hồng Phong|Việt Nam/Hà Nội/Huyện Chương Mỹ

GHrucWxPpIy|Xã Trung Hoà|Việt Nam/Hà Nội/Huyện Chương Mỹ

mZJLIJST4O1|Xã Đồng Lạc|Việt Nam/Hà Nội/Huyện Chương Mỹ

kraQDSHOPky|PKĐK Xuân Mai|Việt Nam/Hà Nội/Huyện Chương Mỹ

ZT0eR3MoPgA|Xã Phú Nam An|Việt Nam/Hà Nội/Huyện Chương Mỹ

UO7wE8cnKj7|Xã Ngọc Hòa|Việt Nam/Hà Nội/Huyện Chương Mỹ

zLyfWTDSu8I|Xã Thanh Bình|Việt Nam/Hà Nội/Huyện Chương Mỹ

zXds3ebEdvB|Xã Trường Yên|Việt Nam/Hà Nội/Huyện Chương Mỹ

kB4oPYbDpgR|Xã Phú Nghĩa|Việt Nam/Hà Nội/Huyện Chương Mỹ

DT1OHV8U7Jq|Xã Trần Phú|Việt Nam/Hà Nội/Huyện Chương Mỹ

clUGd7i7FXY|Xã Đồng Phú|Việt Nam/Hà Nội/Huyện Chương Mỹ

jwEIhSuxELX|Thị trấn Chúc Sơn|Việt Nam/Hà Nội/Huyện Chương Mỹ

eTRPncFh4X5|PKĐK Lương Mỹ|Việt Nam/Hà Nội/Huyện Chương Mỹ

Yad4duvYecm|Xã Tân Tiến|Việt Nam/Hà Nội/Huyện Chương Mỹ

Zq5rqMy8Wz8|Xã Hòa Chính|Việt Nam/Hà Nội/Huyện Chương Mỹ

ESgil0H402K|PYT Huyện Chương Mỹ|Việt Nam/Hà Nội/Huyện Chương Mỹ

kCFrXjkDIqd|Xã Quảng Bị|Việt Nam/Hà Nội/Huyện Chương Mỹ

iQANJmqubue|Xã Văn Võ|Việt Nam/Hà Nội/Huyện Chương Mỹ

KphsjjuHUFX|Xã Hoàng Văn Thụ|Việt Nam/Hà Nội/Huyện Chương Mỹ

OAsA025FYTE|Xã Mỹ Lương|Việt Nam/Hà Nội/Huyện Chương Mỹ

rpeLXeeA3QO|Xã Phụng Châu|Việt Nam/Hà Nội/Huyện Chương Mỹ

KUfaAQUI7TJ|Xã Hoàng Diệu|Việt Nam/Hà Nội/Huyện Chương Mỹ

jZqS6LXaZJe|Xã Nam Phương Tiến|Việt Nam/Hà Nội/Huyện Chương Mỹ

OoiK6QYK3zG|Xã Thủy Xuân Tiên|Việt Nam/Hà Nội/Huyện Chương Mỹ

cxJx63yvF3U|TTYT Huyện Chương Mỹ|Việt Nam/Hà Nội/Huyện Chương Mỹ

rlAn5w8s88L|Xã Yên Thường|Việt Nam/Hà Nội/Huyện Gia Lâm

idZyuzzDdVR|Xã Cổ Bi|Việt Nam/Hà Nội/Huyện Gia Lâm

ZK8siQU9gOr|Xã Trung Mầu|Việt Nam/Hà Nội/Huyện Gia Lâm

vIC02o3PLcz|Xã Ninh Hiệp|Việt Nam/Hà Nội/Huyện Gia Lâm

Z3bc0ufV2if|Xã Phù Đổng|Việt Nam/Hà Nội/Huyện Gia Lâm

w0QhQj5fRwR|Xã Đông Dư|Việt Nam/Hà Nội/Huyện Gia Lâm

WdLoo0qs8ks|Xã Đình Xuyên|Việt Nam/Hà Nội/Huyện Gia Lâm

fzlK5lpDfNw|Xã Đa Tốn|Việt Nam/Hà Nội/Huyện Gia Lâm

IZWzdzJhRnp|Xã Bát Tràng|Việt Nam/Hà Nội/Huyện Gia Lâm

rpXuLG5GDxW|PYT Huyện Gia Lâm|Việt Nam/Hà Nội/Huyện Gia Lâm

he0JaghrWWe|Xã Đặng Xá|Việt Nam/Hà Nội/Huyện Gia Lâm

ueLabxKXkxW|Xã Kim Lan|Việt Nam/Hà Nội/Huyện Gia Lâm

PvLhk557ZBT|Xã Dương Hà|Việt Nam/Hà Nội/Huyện Gia Lâm

G2JZ9FcvOoI|Xã Văn Đức|Việt Nam/Hà Nội/Huyện Gia Lâm

MJezskHUybI|Thị trấn Yên Viên|Việt Nam/Hà Nội/Huyện Gia Lâm

xTJozcSdJIs|Xã Lệ Chi|Việt Nam/Hà Nội/Huyện Gia Lâm

HqtxTzZYUnf|TTYT Huyện Gia Lâm|Việt Nam/Hà Nội/Huyện Gia Lâm

FPU1CxQuLi7|Xã Kim Sơn|Việt Nam/Hà Nội/Huyện Gia Lâm

T3aHpcXYWRY|Bệnh viện đa khoa Huyện Gia Lâm|Việt Nam/Hà Nội/Huyện Gia Lâm

jtVbxRkRrSS|Xã Kiêu Kỵ|Việt Nam/Hà Nội/Huyện Gia Lâm

PW5b4UIDUY1|Xã Dương Xá|Việt Nam/Hà Nội/Huyện Gia Lâm

LCtY0XsYWwE|Xã Yên Viên|Việt Nam/Hà Nội/Huyện Gia Lâm

nsDIgSN1EN7|Thị trấn Trâu Quỳ|Việt Nam/Hà Nội/Huyện Gia Lâm

gDiVlL1SZGB|Xã Dương Quang|Việt Nam/Hà Nội/Huyện Gia Lâm

iNwlOA9KP3O|Xã Phú Thị|Việt Nam/Hà Nội/Huyện Gia Lâm

N5fbveo77dt|Xã Vân Canh|Việt Nam/Hà Nội/Huyện Hoài Đức

YIP0jt0nXda|PYT Huyện Hoài Đức|Việt Nam/Hà Nội/Huyện Hoài Đức

X5HyVhDFNnH|Xã Đông La|Việt Nam/Hà Nội/Huyện Hoài Đức

UbeuRBNqTI7|Xã Cát Quế|Việt Nam/Hà Nội/Huyện Hoài Đức

kVq8CJUChXs|Xã Kim Chung|Việt Nam/Hà Nội/Huyện Hoài Đức

ZxB2wMYHZ3A|Xã Tiền Yên|Việt Nam/Hà Nội/Huyện Hoài Đức

qp7DXz7WEjm|Xã Đắc Sở|Việt Nam/Hà Nội/Huyện Hoài Đức

I8Ou4fyCnvB|Xã An Thượng|Việt Nam/Hà Nội/Huyện Hoài Đức

pBmCPiXdtwW|Xã Di Trạch|Việt Nam/Hà Nội/Huyện Hoài Đức

t9qKHtb8Avy|Xã Đức Giang|Việt Nam/Hà Nội/Huyện Hoài Đức

rJECAKjpxiu|Xã Vân Côn|Việt Nam/Hà Nội/Huyện Hoài Đức

nGn0VvTBzJ7|Bệnh viện đa khoa Huyện Hoài Đức|Việt Nam/Hà Nội/Huyện Hoài Đức

jpoZ8aqaPTz|Xã Minh Khai|Việt Nam/Hà Nội/Huyện Hoài Đức

vSOns3NQxFN|Thị trấn Trạm Trôi|Việt Nam/Hà Nội/Huyện Hoài Đức

yg3tuG7U1Mz|Xã Lại Yên|Việt Nam/Hà Nội/Huyện Hoài Đức

afYV3GySOmB|TTYT Huyện Hoài Đức|Việt Nam/Hà Nội/Huyện Hoài Đức

wY2Cnv17VCS|Xã Yên Sở|Việt Nam/Hà Nội/Huyện Hoài Đức

K1KKzROgEzW|Xã Sơn Đồng|Việt Nam/Hà Nội/Huyện Hoài Đức

q80siSK9hvf|Xã La Phù|Việt Nam/Hà Nội/Huyện Hoài Đức

I7ZuSBD5d76|Xã Song Phương|Việt Nam/Hà Nội/Huyện Hoài Đức

gLCmlUWn9Bl|PKĐK Ngãi Cầu|Việt Nam/Hà Nội/Huyện Hoài Đức

luH2tWgvmYH|Xã An Khánh|Việt Nam/Hà Nội/Huyện Hoài Đức

m9NWTys38OS|Xã Dương Liễu|Việt Nam/Hà Nội/Huyện Hoài Đức

SlaaVvRNLne|Xã Đức Thượng|Việt Nam/Hà Nội/Huyện Hoài Đức

zA2cPZYM9Cf|Xã Hoàng Kim|Việt Nam/Hà Nội/Huyện Mê Linh

ASUVVLzS35v|Xã Liên Mạc|Việt Nam/Hà Nội/Huyện Mê Linh

yOcuGZBxh3v|Xã Chi Đông|Việt Nam/Hà Nội/Huyện Mê Linh

yy0dSEWG3px|Xã Vạn Yên|Việt Nam/Hà Nội/Huyện Mê Linh

n99Ax908a3H|Xã Văn Khê|Việt Nam/Hà Nội/Huyện Mê Linh

rqVLFg9FfCM|Xã Chu Phan|Việt Nam/Hà Nội/Huyện Mê Linh

DViAKg0utFI|Xã Tự Lập|Việt Nam/Hà Nội/Huyện Mê Linh

JK8XCqEKGLx|PYT Huyện Mê Linh|Việt Nam/Hà Nội/Huyện Mê Linh

aXzdxnP9Fm3|Xã Tráng Việt|Việt Nam/Hà Nội/Huyện Mê Linh

QXbJRwuOTmH|Xã Tiền Phong|Việt Nam/Hà Nội/Huyện Mê Linh

ENMM1yTFVtD|Xã Tiến Thịnh|Việt Nam/Hà Nội/Huyện Mê Linh

uRAKvMUeEUX|Xã Kim Hoa|Việt Nam/Hà Nội/Huyện Mê Linh

mLkAq6qkUHO|Xã Tiến Thắng|Việt Nam/Hà Nội/Huyện Mê Linh

Htys8dQ1rZo|PKĐK Đại Thịnh|Việt Nam/Hà Nội/Huyện Mê Linh

VDAAQUcQUYh|Xã Thạch Đà|Việt Nam/Hà Nội/Huyện Mê Linh

leEMVHyuk5d|PKĐK Thạch Đà|Việt Nam/Hà Nội/Huyện Mê Linh

RosdPD7GN0u|Xã Quang Minh|Việt Nam/Hà Nội/Huyện Mê Linh

