id|name|ancestors
pXfCc6JaQLq|Xã Liên Sơn|Việt Nam/Ninh Bình/Huyện Gia Viễn

Gr12HuYTV7f|Xã Gia Xuân|Việt Nam/Ninh Bình/Huyện Gia Viễn

PZtCkNstwY9|Xã Gia Vượng|Việt Nam/Ninh Bình/Huyện Gia Viễn

VUmzlV14pTk|Xã Gia Vân|Việt Nam/Ninh Bình/Huyện Gia Viễn

aZ8KWdBYPPL|Xã Gia Tân|Việt Nam/Ninh Bình/Huyện Gia Viễn

c7TZgC3ztys|Xã Gia Trấn|Việt Nam/Ninh Bình/Huyện Gia Viễn

qGAHCEi98qp|Xã Gia Trung|Việt Nam/Ninh Bình/Huyện Gia Viễn

jwqZDttnPru|Xã Gia Tiến|Việt Nam/Ninh Bình/Huyện Gia Viễn

GIrW7cBA6Ri|Xã Gia Thịnh|Việt Nam/Ninh Bình/Huyện Gia Viễn

TU4PGLxcraU|Xã Gia Thắng|Việt Nam/Ninh Bình/Huyện Gia Viễn

AAfjzERP1rh|Xã Gia Thanh|Việt Nam/Ninh Bình/Huyện Gia Viễn

UXpZHT2UPZ5|Xã Gia Sinh|Việt Nam/Ninh Bình/Huyện Gia Viễn

wWt9nfiz7N6|Xã Gia Phương|Việt Nam/Ninh Bình/Huyện Gia Viễn

ubxDUAWHNUc|Xã Gia Phú|Việt Nam/Ninh Bình/Huyện Gia Viễn

bwicKw5HhJh|Xã Gia Phong|Việt Nam/Ninh Bình/Huyện Gia Viễn

jZTsDHzsEmT|Xã Gia Minh|Việt Nam/Ninh Bình/Huyện Gia Viễn

hNlPUOkAo1P|Xã Gia Lập|Việt Nam/Ninh Bình/Huyện Gia Viễn

wiTNsjqg1hs|Xã Gia Lạc|Việt Nam/Ninh Bình/Huyện Gia Viễn

A1vgcRknfe5|Xã Gia Hưng|Việt Nam/Ninh Bình/Huyện Gia Viễn

yPWCgZKUkfQ|Xã Gia Hòa|Việt Nam/Ninh Bình/Huyện Gia Viễn

rXc9FJ3rU7h|TTYT Huyện Gia Viễn|Việt Nam/Ninh Bình/Huyện Gia Viễn

v2Nw9TuueZB|Thị trấn Me|Việt Nam/Ninh Bình/Huyện Gia Viễn

EIoDwwlB5gm|Xã Trường Yên|Việt Nam/Ninh Bình/Huyện Hoa Lư

wrFHKLp3rRg|Xã Ninh Xuân|Việt Nam/Ninh Bình/Huyện Hoa Lư

qmsvMpEuCNB|Xã Ninh Vân|Việt Nam/Ninh Bình/Huyện Hoa Lư

J7dR9k592xp|Xã Ninh Thắng|Việt Nam/Ninh Bình/Huyện Hoa Lư

BFieS0F4Cvm|Xã Ninh Mỹ|Việt Nam/Ninh Bình/Huyện Hoa Lư

XeqMnv6PIoH|Xã Ninh Khang|Việt Nam/Ninh Bình/Huyện Hoa Lư

VawGp5BpJ7l|Xã Ninh Hải|Việt Nam/Ninh Bình/Huyện Hoa Lư

S2eIqamscBS|Xã Ninh Hòa|Việt Nam/Ninh Bình/Huyện Hoa Lư

L8t7TFVwv8j|Xã Ninh Giang|Việt Nam/Ninh Bình/Huyện Hoa Lư

oqNqYhiiPkY|Xã Ninh An|Việt Nam/Ninh Bình/Huyện Hoa Lư

UIUDjvcAmw3|TTYT Huyện Hoa Lư|Việt Nam/Ninh Bình/Huyện Hoa Lư

Ocd81m4wcmG|Thị trấn Thiên Tôn|Việt Nam/Ninh Bình/Huyện Hoa Lư

LLNJaNcBaxq|Xã Đồng Hướng|Việt Nam/Ninh Bình/Huyện Kim Sơn

PpZcCAGm1BN|Xã Định Hóa|Việt Nam/Ninh Bình/Huyện Kim Sơn

YUEFRkSdRXX|Xã Ân Hòa|Việt Nam/Ninh Bình/Huyện Kim Sơn

iD0MkETTNzy|Xã Yên Mật (Sáp nhập 2019)|Việt Nam/Ninh Bình/Huyện Kim Sơn

C8D53Xtuszt|Xã Yên Lộc|Việt Nam/Ninh Bình/Huyện Kim Sơn

tN2Ev6v7HGU|Xã Xuân Thiện (Sáp nhập 2019)|Việt Nam/Ninh Bình/Huyện Kim Sơn

noGYvZ1I46b|Xã Xuân Chính|Việt Nam/Ninh Bình/Huyện Kim Sơn

Bb0JNZh9Sim|Xã Văn Hải|Việt Nam/Ninh Bình/Huyện Kim Sơn

agBUtOEd7ES|Xã Tân Thành|Việt Nam/Ninh Bình/Huyện Kim Sơn

KV59ztkfI4f|Xã Thượng Kiệm|Việt Nam/Ninh Bình/Huyện Kim Sơn

aeuvj0PActw|Xã Quang Thiện|Việt Nam/Ninh Bình/Huyện Kim Sơn

EPxaeCvwxSs|Xã Như Hòa|Việt Nam/Ninh Bình/Huyện Kim Sơn

CxCM3Ue2hBP|Xã Lưu Phương|Việt Nam/Ninh Bình/Huyện Kim Sơn

k0zpQPaobzC|Xã Lai Thành|Việt Nam/Ninh Bình/Huyện Kim Sơn

BxJEhfSKFYj|Xã Kim Định|Việt Nam/Ninh Bình/Huyện Kim Sơn

V1eedyqJBe0|Xã Kim Đông|Việt Nam/Ninh Bình/Huyện Kim Sơn

cSSTcG5tcDF|Xã Kim Tân|Việt Nam/Ninh Bình/Huyện Kim Sơn

Yz67aQFSBl6|Xã Kim Trung|Việt Nam/Ninh Bình/Huyện Kim Sơn

DyGAvMfZhxH|Xã Kim Mỹ|Việt Nam/Ninh Bình/Huyện Kim Sơn

JklXuKlmGVV|Xã Kim Hải|Việt Nam/Ninh Bình/Huyện Kim Sơn

F7qFecFZ7Ry|Xã Kim Chính|Việt Nam/Ninh Bình/Huyện Kim Sơn

dKOByDZEctn|Xã Hồi Ninh|Việt Nam/Ninh Bình/Huyện Kim Sơn

toclLgFnKwS|Xã Hùng Tiến|Việt Nam/Ninh Bình/Huyện Kim Sơn

eA7GwNMX0aO|Xã Cồn Thoi|Việt Nam/Ninh Bình/Huyện Kim Sơn

hOQi4BtmNEl|Xã Chất Bình|Việt Nam/Ninh Bình/Huyện Kim Sơn

dWWWZoqUyok|Xã Chính Tâm (Sáp nhập 2019)|Việt Nam/Ninh Bình/Huyện Kim Sơn

LyBXHT3PAiv|TTYT Huyện Kim Sơn|Việt Nam/Ninh Bình/Huyện Kim Sơn

Y6iWdhKgUte|Thị trấn Phát Diệm|Việt Nam/Ninh Bình/Huyện Kim Sơn

dcdtfTC0mLV|Thị trấn Bình Minh|Việt Nam/Ninh Bình/Huyện Kim Sơn

GSWkI6P2FWB|Bệnh viện Đa khoa Huyện Kim Sơn|Việt Nam/Ninh Bình/Huyện Kim Sơn

dOZQQIuUB2U|Xã Đức Long|Việt Nam/Ninh Bình/Huyện Nho Quan

nk8b2CBsdGm|Xã Đồng Phong|Việt Nam/Ninh Bình/Huyện Nho Quan

QPyuEeG6ruS|Xã Yên Quang|Việt Nam/Ninh Bình/Huyện Nho Quan

vgL6t7m3vC5|Xã Xích Thổ|Việt Nam/Ninh Bình/Huyện Nho Quan

zxzWxheyebg|Xã Văn Phương|Việt Nam/Ninh Bình/Huyện Nho Quan

Yc7YF1W5Zd2|Xã Văn Phú|Việt Nam/Ninh Bình/Huyện Nho Quan

eRzckbzzuMm|Xã Văn Phong|Việt Nam/Ninh Bình/Huyện Nho Quan

RBdIaD764x6|Xã Thạch Bình|Việt Nam/Ninh Bình/Huyện Nho Quan

mDINls4ObNw|Xã Thượng Hòa|Việt Nam/Ninh Bình/Huyện Nho Quan

b6xyYgvUOFN|Xã Thanh Lạc|Việt Nam/Ninh Bình/Huyện Nho Quan

tTRsmZD7qYf|Xã Sơn Thành|Việt Nam/Ninh Bình/Huyện Nho Quan

ry8LxyL1Fj1|Xã Sơn Lai|Việt Nam/Ninh Bình/Huyện Nho Quan

FZm81sP21yH|Xã Sơn Hà|Việt Nam/Ninh Bình/Huyện Nho Quan

FV3VSdApuL6|Xã Quỳnh Lưu|Việt Nam/Ninh Bình/Huyện Nho Quan

R2d4NETc1j8|Xã Quảng Lạc|Việt Nam/Ninh Bình/Huyện Nho Quan

oEWgoh8inj1|Xã Phú Sơn|Việt Nam/Ninh Bình/Huyện Nho Quan

Wh43fmpTimI|Xã Phú Lộc|Việt Nam/Ninh Bình/Huyện Nho Quan

A89n5BYcUir|Xã Phú Long|Việt Nam/Ninh Bình/Huyện Nho Quan

gi0417qsd04|Xã Lạng Phong|Việt Nam/Ninh Bình/Huyện Nho Quan

VCeqm6051vn|Xã Lạc Vân|Việt Nam/Ninh Bình/Huyện Nho Quan

CmyAvezvk1o|Xã Kỳ Phú|Việt Nam/Ninh Bình/Huyện Nho Quan

F3GsuMsP8Kd|Xã Gia Tường|Việt Nam/Ninh Bình/Huyện Nho Quan

VKB19Td78ve|Xã Gia Thủy|Việt Nam/Ninh Bình/Huyện Nho Quan

nitYYmDGtTh|Xã Gia Sơn|Việt Nam/Ninh Bình/Huyện Nho Quan

AWYIAT9XTeO|Xã Gia Lâm|Việt Nam/Ninh Bình/Huyện Nho Quan

S5znUPoEmub|Xã Cúc Phương|Việt Nam/Ninh Bình/Huyện Nho Quan

qS5KhaYYLRu|TTYT Huyện Nho Quan|Việt Nam/Ninh Bình/Huyện Nho Quan

DaMOC6ucylB|Thị trấn Nho Quan|Việt Nam/Ninh Bình/Huyện Nho Quan

sTd4j1VEcVk|Bệnh viện Đa khoa Huyện Nho Quan|Việt Nam/Ninh Bình/Huyện Nho Quan

zIX7fhxfQ26|Xã Khánh Vân|Việt Nam/Ninh Bình/Huyện Yên Khánh

uIhRvWcwCLc|Xã Khánh Trung|Việt Nam/Ninh Bình/Huyện Yên Khánh

V6KfqB2E3A0|Xã Khánh Tiên|Việt Nam/Ninh Bình/Huyện Yên Khánh

zVOl1xtnmqx|Xã Khánh Thủy|Việt Nam/Ninh Bình/Huyện Yên Khánh

RX6060qeF7A|Xã Khánh Thành|Việt Nam/Ninh Bình/Huyện Yên Khánh

dw3SXdrl2ma|Xã Khánh Thiện|Việt Nam/Ninh Bình/Huyện Yên Khánh

eLYrJDyRTX5|Xã Khánh Phú|Việt Nam/Ninh Bình/Huyện Yên Khánh

rHgUcF2T2MR|Xã Khánh Nhạc|Việt Nam/Ninh Bình/Huyện Yên Khánh

hT0j9WyFhZR|Xã Khánh Mậu|Việt Nam/Ninh Bình/Huyện Yên Khánh

BHcj6knvRbe|Xã Khánh Lợi|Việt Nam/Ninh Bình/Huyện Yên Khánh

QcmYuhzbQqc|Xã Khánh Hội|Việt Nam/Ninh Bình/Huyện Yên Khánh

QQKLbC5CVdC|Xã Khánh Hồng|Việt Nam/Ninh Bình/Huyện Yên Khánh

CbWPKxO9CaV|Xã Khánh Hải|Việt Nam/Ninh Bình/Huyện Yên Khánh

BAqlaZeQ8C3|Xã Khánh Hòa|Việt Nam/Ninh Bình/Huyện Yên Khánh

dynYcmYbisx|Xã Khánh Cường|Việt Nam/Ninh Bình/Huyện Yên Khánh

ojpNcHeoP1J|Xã Khánh Cư|Việt Nam/Ninh Bình/Huyện Yên Khánh

EuywuLYrfMb|Xã Khánh Công|Việt Nam/Ninh Bình/Huyện Yên Khánh

CItdVshvK3m|Xã Khánh An|Việt Nam/Ninh Bình/Huyện Yên Khánh

stiMfwb1LwR|TTYT Huyện Yên Khánh|Việt Nam/Ninh Bình/Huyện Yên Khánh

xDbDkpUxzhq|Thị trấn Yên Ninh|Việt Nam/Ninh Bình/Huyện Yên Khánh

VSo3VgCOx5F|Xã Yên Đồng|Việt Nam/Ninh Bình/Huyện Yên Mô

TZORIjImIJx|Xã Yên Từ|Việt Nam/Ninh Bình/Huyện Yên Mô

NhlGXfXnNKq|Xã Yên Thắng|Việt Nam/Ninh Bình/Huyện Yên Mô

U1rMvKUjtsn|Xã Yên Thái|Việt Nam/Ninh Bình/Huyện Yên Mô

ownwwYU9OSg|Xã Yên Thành|Việt Nam/Ninh Bình/Huyện Yên Mô

J9RvQaKvvwR|Xã Yên Phong|Việt Nam/Ninh Bình/Huyện Yên Mô

RMGuct0SrYn|Xã Yên Nhân|Việt Nam/Ninh Bình/Huyện Yên Mô

YBvcO0Wc0Zt|Xã Yên Mỹ|Việt Nam/Ninh Bình/Huyện Yên Mô

ZweCmuFGbex|Xã Yên Mạc|Việt Nam/Ninh Bình/Huyện Yên Mô

JMX27lJfRKW|Xã Yên Lâm|Việt Nam/Ninh Bình/Huyện Yên Mô

bEpMCWPh9h7|Xã Yên Hưng|Việt Nam/Ninh Bình/Huyện Yên Mô

