id|name|ancestors
b7scBzgplma|Xã Hòa Định Đông|Việt Nam/Phú Yên/Huyện Phú Hoà

WH3VgnOHoPy|Xã Hòa Định Tây|Việt Nam/Phú Yên/Huyện Phú Hoà

Jwpmw3M8Ky0|Xã Hòa Trị|Việt Nam/Phú Yên/Huyện Phú Hoà

VrLTc62FSoJ|Xã Hòa Thắng|Việt Nam/Phú Yên/Huyện Phú Hoà

CT9TEcDxXAN|Xã Hòa Quang Nam|Việt Nam/Phú Yên/Huyện Phú Hoà

hZXKJPcRy0T|Xã Hòa Quang Bắc|Việt Nam/Phú Yên/Huyện Phú Hoà

ZPq0OvKsDUf|Xã Hòa Hội|Việt Nam/Phú Yên/Huyện Phú Hoà

LC7fQxmvEaB|Xã Hòa An|Việt Nam/Phú Yên/Huyện Phú Hoà

VZ04sZrsE5e|TTYT Huyện Phú Hoà|Việt Nam/Phú Yên/Huyện Phú Hoà

C9cnPGbO5KZ|Phòng Y tế Dân số huyện Phú Hòa|Việt Nam/Phú Yên/Huyện Phú Hoà

qWPHsIRa2c4|Xã Đức Bình Đông|Việt Nam/Phú Yên/Huyện Sông Hinh

MfjnpAf69uO|Xã Đức Bình Tây|Việt Nam/Phú Yên/Huyện Sông Hinh

J60s6HpZe4V|Xã Sơn Giang|Việt Nam/Phú Yên/Huyện Sông Hinh

dFPIp2Lchvi|Xã Sông Hinh|Việt Nam/Phú Yên/Huyện Sông Hinh

rGWKF1haKje|Xã EaTrol|Việt Nam/Phú Yên/Huyện Sông Hinh

V6xKLGHdrtr|Xã Ealy|Việt Nam/Phú Yên/Huyện Sông Hinh

FTXUjh11IOb|Xã EaBia|Việt Nam/Phú Yên/Huyện Sông Hinh

P5YSyMc6D1q|Xã EaBar|Việt Nam/Phú Yên/Huyện Sông Hinh

tFsRECjUZIi|Xã Ea Lâm|Việt Nam/Phú Yên/Huyện Sông Hinh

wtPUTohJPfr|Xã Ea Bá|Việt Nam/Phú Yên/Huyện Sông Hinh

Jbjxn7l3a6N|TTYT Huyện Sông Hinh|Việt Nam/Phú Yên/Huyện Sông Hinh

yvASzB9rkiJ|Phòng Y tế Dân số huyện Sông Hinh|Việt Nam/Phú Yên/Huyện Sông Hinh

lViLtORyPjT|Xã Sơn Định|Việt Nam/Phú Yên/Huyện Sơn Hòa

wdm5LoA7FzN|Xã Sơn Xuân|Việt Nam/Phú Yên/Huyện Sơn Hòa

YF05RQxSrSM|Xã Sơn Phước|Việt Nam/Phú Yên/Huyện Sơn Hòa

liEYtF7rni4|Xã Sơn Nguyên|Việt Nam/Phú Yên/Huyện Sơn Hòa

Kntv5E3Inhw|Xã Sơn Long|Việt Nam/Phú Yên/Huyện Sơn Hòa

lZAeVS4KzAm|Xã Sơn Hội|Việt Nam/Phú Yên/Huyện Sơn Hòa

q1TtCh3qjVy|Xã Sơn Hà|Việt Nam/Phú Yên/Huyện Sơn Hòa

a1jZGf2P85p|Xã Suối Trai|Việt Nam/Phú Yên/Huyện Sơn Hòa

OjuYBVU9uAG|Xã Suối Bạc|Việt Nam/Phú Yên/Huyện Sơn Hòa

sxxgmqYaHtb|Xã Phước Tân|Việt Nam/Phú Yên/Huyện Sơn Hòa

r3TE3GtrzKd|Xã Krông Pa|Việt Nam/Phú Yên/Huyện Sơn Hòa

YIoh1f2vd37|Xã Eachà Rang|Việt Nam/Phú Yên/Huyện Sơn Hòa

gEdccq0aPsV|Xã Cà Lúi|Việt Nam/Phú Yên/Huyện Sơn Hòa

rnApxZz9mbl|TTYT Huyện Sơn Hòa|Việt Nam/Phú Yên/Huyện Sơn Hòa

Kw7paVeZvlT|Thị trấn Củng Sơn|Việt Nam/Phú Yên/Huyện Sơn Hòa

ExLhEwh7d4h|Phòng Y tế Dân số huyện Sơn Hòa|Việt Nam/Phú Yên/Huyện Sơn Hòa

PldiJXvqFww|Xã An Định|Việt Nam/Phú Yên/Huyện Tuy An

NNUocgB1gkF|Xã An Xuân|Việt Nam/Phú Yên/Huyện Tuy An

YAYTdFgevYJ|Xã An Thọ|Việt Nam/Phú Yên/Huyện Tuy An

hK5ZrAKrxSI|Xã An Thạch|Việt Nam/Phú Yên/Huyện Tuy An

vdxjh3E0cki|Xã An Ninh Đông|Việt Nam/Phú Yên/Huyện Tuy An

MiK3UX7A028|Xã An Ninh Tây|Việt Nam/Phú Yên/Huyện Tuy An

nkp9qFT3TvK|Xã An Nghiệp|Việt Nam/Phú Yên/Huyện Tuy An

xjuVSH9ofGt|Xã An Mỹ|Việt Nam/Phú Yên/Huyện Tuy An

TE14T8gSb8O|Xã An Lĩnh|Việt Nam/Phú Yên/Huyện Tuy An

ncKFzou45pn|Xã An Hải|Việt Nam/Phú Yên/Huyện Tuy An

dF9Eua6tu2a|Xã An Hòa Hải|Việt Nam/Phú Yên/Huyện Tuy An

V6FLpsemwIZ|Xã An Hòa|Việt Nam/Phú Yên/Huyện Tuy An

J1k1GC28SPO|Xã An Hiệp|Việt Nam/Phú Yên/Huyện Tuy An

fmdMqElC1w2|Xã An Dân|Việt Nam/Phú Yên/Huyện Tuy An

UfmLV1onSvd|Xã An Cư|Việt Nam/Phú Yên/Huyện Tuy An

j25FYuN7h5h|Xã An Chấn|Việt Nam/Phú Yên/Huyện Tuy An

