id|name|ancestors
GL7JUBNjH3c|Xã Đào Xá|Việt Nam/Thái Nguyên/Huyện Phú Bình

dnASABIYLgH|Xã Điềm Thụy|Việt Nam/Thái Nguyên/Huyện Phú Bình

mOZZWoPIWlg|Xã Úc Kỳ|Việt Nam/Thái Nguyên/Huyện Phú Bình

TJFNA08i7UO|Xã Xuân Phương|Việt Nam/Thái Nguyên/Huyện Phú Bình

tYQe916ZuW3|Xã Tân Đức|Việt Nam/Thái Nguyên/Huyện Phú Bình

JCDFXw47xFJ|Xã Tân Thành|Việt Nam/Thái Nguyên/Huyện Phú Bình

yVoIUNI2sPy|Xã Tân Kim|Việt Nam/Thái Nguyên/Huyện Phú Bình

mKZvfhvQL6V|Xã Tân Khánh|Việt Nam/Thái Nguyên/Huyện Phú Bình

ZPVjXbIr4JV|Xã Tân Hòa|Việt Nam/Thái Nguyên/Huyện Phú Bình

W6jQKETRz2v|Xã Thượng Đình|Việt Nam/Thái Nguyên/Huyện Phú Bình

lQsv12xdc2G|Xã Thanh Ninh|Việt Nam/Thái Nguyên/Huyện Phú Bình

os6LXFG6BPy|Xã Nhã Lộng|Việt Nam/Thái Nguyên/Huyện Phú Bình

eAkAH2rOkPS|Xã Nga My|Việt Nam/Thái Nguyên/Huyện Phú Bình

Mu7GZ7R3OAb|Xã Lương Phú|Việt Nam/Thái Nguyên/Huyện Phú Bình

jzYWrf6VaTM|Xã Kha Sơn|Việt Nam/Thái Nguyên/Huyện Phú Bình

fNqWKjxxXBo|Xã Hà Châu|Việt Nam/Thái Nguyên/Huyện Phú Bình

HoPIZkWAKZZ|Xã Dương Thành|Việt Nam/Thái Nguyên/Huyện Phú Bình

W9l8mrrKGec|Xã Bảo Lý|Việt Nam/Thái Nguyên/Huyện Phú Bình

AGvh4MAfjvN|Xã Bàn Đạt|Việt Nam/Thái Nguyên/Huyện Phú Bình

xuQb3Io7LcP|TTYT Huyện Phú Bình|Việt Nam/Thái Nguyên/Huyện Phú Bình

