id|name|ancestors
hbRJo3AM3LG|Xã Đông Sơn|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

d5ryEbRAQHt|Xã Trung Sơn|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

fWovKIh3jb8|Xã Sơn Thủy|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

gXYDjYC9Dr9|Xã Quảng Nhâm|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

uzIFykZJyFL|Xã Phú Vinh|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

yqxsW70mTJE|Xã Lâm Đớt|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

JLp8o035krU|Xã Hồng Vân|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

a7hF1eeNm8s|Xã Hồng Thủy|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

MXwqJxew0RM|Xã Hồng Thượng|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

dJaCx4H3aIX|Xã Hồng Thái|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

d9oxAmxj9KK|Xã Hồng Kim|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

uHf7dCGXrXe|Xã Hồng Hạ|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

TUp58Mi3lR1|Xã Hồng Bắc|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

qv6DYB7TCO9|Xã Hương Phong|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

CoPm1y8GUMv|Xã Hương Nguyên|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

PfZL3MJLpJ3|Xã A Roằng|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

dFMSlUbq3tf|Xã A Ngo|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

jtCgXV64nFu|TTYT Huyện A Lưới|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

niAbAAxgCDo|Thị trấn A Lưới|Việt Nam/Thừa Thiên Huế/Huyện A Lưới

guTsY9zUO8x|Xã Thượng Quảng|Việt Nam/Thừa Thiên Huế/Huyện Nam Đông

IA92W2czHiE|Xã Thượng Nhật|Việt Nam/Thừa Thiên Huế/Huyện Nam Đông

qlFkbagLnEo|Xã Thượng Lộ|Việt Nam/Thừa Thiên Huế/Huyện Nam Đông

bfJkV1p0LfL|Xã Thượng Long|Việt Nam/Thừa Thiên Huế/Huyện Nam Đông

ZsCtyalVguw|Xã Hương Xuân|Việt Nam/Thừa Thiên Huế/Huyện Nam Đông

QBJmEGI0S6Y|Xã Hương Sơn|Việt Nam/Thừa Thiên Huế/Huyện Nam Đông

C9BcsqLRYio|Xã Hương Phú|Việt Nam/Thừa Thiên Huế/Huyện Nam Đông

Vpc3HEKiDk2|Xã Hương Lộc|Việt Nam/Thừa Thiên Huế/Huyện Nam Đông

