id|name|ancestors
XlBhDSzoWXz|Xã Đa Lộc|Việt Nam/Trà Vinh/Huyện Châu Thành

othVEaFg6TF|Xã Thanh Mỹ|Việt Nam/Trà Vinh/Huyện Châu Thành

TXLRoQkVDBQ|Xã Song Lộc|Việt Nam/Trà Vinh/Huyện Châu Thành

Qf6sbVFIl6b|Xã Phước Hảo|Việt Nam/Trà Vinh/Huyện Châu Thành

N7GYkUqNMhQ|Xã Nguyệt Hóa|Việt Nam/Trà Vinh/Huyện Châu Thành

eAtzxVnGApP|Xã Mỹ Chánh|Việt Nam/Trà Vinh/Huyện Châu Thành

jwSCgiUEokT|Xã Lương Hòa|Việt Nam/Trà Vinh/Huyện Châu Thành

LtqusWIAuLK|Xã Lương Hoà A|Việt Nam/Trà Vinh/Huyện Châu Thành

t7grrpwnbLA|Xã Long Hòa|Việt Nam/Trà Vinh/Huyện Châu Thành

F6EN1ShYnMD|Xã Hưng Mỹ|Việt Nam/Trà Vinh/Huyện Châu Thành

C1zQmNnSDnW|Xã Hòa Thuận|Việt Nam/Trà Vinh/Huyện Châu Thành

HDRKvX6eQD1|Xã Hòa Minh|Việt Nam/Trà Vinh/Huyện Châu Thành

awYYo46ox0g|Xã Hòa Lợi|Việt Nam/Trà Vinh/Huyện Châu Thành

RM40TW3Z7pO|TTYT Huyện Châu Thành|Việt Nam/Trà Vinh/Huyện Châu Thành

K7uMLUFLPwI|Thị trấn Châu Thành|Việt Nam/Trà Vinh/Huyện Châu Thành

WQwxeA4SUlB|PKĐKKV Hòa Minh (Sáp nhập 2020)|Việt Nam/Trà Vinh/Huyện Châu Thành

hlkEQwqDsD3|Xã Đức Mỹ|Việt Nam/Trà Vinh/Huyện Càng Long

A6wTVnC6sua|Xã Đại Phước|Việt Nam/Trà Vinh/Huyện Càng Long

UzQsKFAxgT0|Xã Đại Phúc|Việt Nam/Trà Vinh/Huyện Càng Long

H2GhF28PhgI|Xã Tân Bình|Việt Nam/Trà Vinh/Huyện Càng Long

ohfSiTVONlX|Xã Tân An|Việt Nam/Trà Vinh/Huyện Càng Long

zaVdjo0VGTO|Xã Phương Thạnh|Việt Nam/Trà Vinh/Huyện Càng Long

Pta06c8Hg2q|Xã Nhị Long Phú|Việt Nam/Trà Vinh/Huyện Càng Long

LzcVLjTFzzQ|Xã Nhị Long|Việt Nam/Trà Vinh/Huyện Càng Long

doHaAx2kasB|Xã Mỹ Cẩm|Việt Nam/Trà Vinh/Huyện Càng Long

