id|name|ancestors
VGz6UJ91yIf|Xã Yên Nguyên|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

EQT1UMSBSvX|Xã Yên Lập|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

XPGD5WaEYbh|Xã Xuân Quang|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

vRTCzLa9j6P|Xã Vĩnh Lộc|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

rwQCL8WELiC|Xã Vinh Quang|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

plYC9Tl4xwG|Xã Tân Thịnh|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

Ao8hZC6kMGq|Xã Tân Mỹ|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

jEOEFB2jygF|Xã Tân An|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

GcYESJacg2u|Xã Trung Hòa|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

TcTN0OHFYBr|Xã Trung Hà|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

EbLKZIzNJAr|Xã Tri Phú|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

BUrlb4yucE7|Xã Phúc Thịnh|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

qtbobsQOTWj|Xã Phúc Sơn|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

CI7Kpd661tp|Xã Phú Bình|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

XyjN2FhMdi4|Xã Nhân Lý|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

ISb87wMHsVT|Xã Ngọc Hội|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

KI7rnwyFWvM|Xã Mỹ Bằng|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

DadahC429sG|Xã Mỹ Bằng|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

M9Ck237YtQX|Xã Minh Quang|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

qTqc9nSDk3J|Xã Linh Phú|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

KlJaC0eHtLT|Xã Kiên Đài|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

mIKhLQcbckz|Xã Kim Bình (sáp nhập 2020)|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

KShjpXCgv0Z|Xã Hùng Mỹ|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

XifvXlkKRIc|Xã Hòa Phú|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

u3aQ3q69swL|Xã Hòa An|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

CoOSorWieTE|Xã Hà Lang|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

Cacfnp7bIqy|Xã Bình Phú|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

l05pELLCEKB|Xã Bình Nhân|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

RiYXLlnULL7|TTYT Huyện Chiêm Hóa|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

pYIKQzzSdrm|PYT Huyện Chiêm Hóa|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

apVgIFr4DI9|Phòng khám đa khoa khu vực Minh Đức|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

OPoGDTFhcvm|Phòng khám đa khoa khu vực Kim Bình|Việt Nam/Tuyên Quang/Huyện Chiêm Hóa

MTpIA7MkNTh|Xã Đức Ninh|Việt Nam/Tuyên Quang/Huyện Hàm Yên

s45LR7HxcWx|Xã Yên Thuận|Việt Nam/Tuyên Quang/Huyện Hàm Yên

njb04sHNMZf|Xã Yên Phú|Việt Nam/Tuyên Quang/Huyện Hàm Yên

TgR7EpUgKL8|Xã Yên Lâm|Việt Nam/Tuyên Quang/Huyện Hàm Yên

k9w8JMBYcqU|Xã Tân Thành|Việt Nam/Tuyên Quang/Huyện Hàm Yên

ohXJYdb9ILy|Xã Thái Sơn|Việt Nam/Tuyên Quang/Huyện Hàm Yên

KLqYFiGXmhL|Xã Thái Hòa|Việt Nam/Tuyên Quang/Huyện Hàm Yên

DegOisQareM|Xã Thành Long|Việt Nam/Tuyên Quang/Huyện Hàm Yên

R66pQ8qiphr|Xã Phù Lưu|Việt Nam/Tuyên Quang/Huyện Hàm Yên

ZUe8EYH7XMK|Xã Nhân Mục|Việt Nam/Tuyên Quang/Huyện Hàm Yên

ch5njKVl7wl|Xã Minh Khương|Việt Nam/Tuyên Quang/Huyện Hàm Yên

kq0JGaJi593|Xã Minh Hương|Việt Nam/Tuyên Quang/Huyện Hàm Yên

V5eQOBCHlYL|Xã Minh Dân|Việt Nam/Tuyên Quang/Huyện Hàm Yên

Yj1iB6rjASa|Xã Hùng Đức|Việt Nam/Tuyên Quang/Huyện Hàm Yên

