id|name|ancestors
B1Vl8Epj9rN|Xã Đa Phước|Việt Nam/An Giang/Huyện An Phú
dH1HjqnyYU5|Xã Vĩnh Trường|Việt Nam/An Giang/Huyện An Phú
K1jUxI2nY8O|Xã Vĩnh Lộc|Việt Nam/An Giang/Huyện An Phú
MsEptJJSFbd|Xã Vĩnh Hội Đông|Việt Nam/An Giang/Huyện An Phú
kef3Fq11inu|Xã Vĩnh Hậu|Việt Nam/An Giang/Huyện An Phú
W3h8h8wz7mB|Xã Quốc Thái|Việt Nam/An Giang/Huyện An Phú
sauHHdbEGYx|Xã Phước Hưng|Việt Nam/An Giang/Huyện An Phú
VsdVcHt6x0O|Xã Phú Hữu|Việt Nam/An Giang/Huyện An Phú
OhLXnsUwlOr|Xã Phú Hội|Việt Nam/An Giang/Huyện An Phú
mmgTir4hkTt|Xã Nhơn Hội|Việt Nam/An Giang/Huyện An Phú
PaJJ1kUUnB2|Xã Khánh Bình|Việt Nam/An Giang/Huyện An Phú
lNXs1lrOMMn|Xã Khánh An|Việt Nam/An Giang/Huyện An Phú
TNxHOJwYsaX|TTYT Huyện An Phú|Việt Nam/An Giang/Huyện An Phú
cAezjc24Nnh|Thị trấn Long Bình|Việt Nam/An Giang/Huyện An Phú
VRfoGqbijpS|Thị trấn An Phú|Việt Nam/An Giang/Huyện An Phú
VOhCDrFeUwL|Phòng y tế Huyện An Phú|Việt Nam/An Giang/Huyện An Phú
BCVhRd3UO2G|Phòng khám ĐKKV Đồng Ky |Việt Nam/An Giang/Huyện An Phú
pfOStvn0mrx|Xã Đào Hữu Cảnh|Việt Nam/An Giang/Huyện Châu Phú
FslWkivJgPq|Xã Ô Long Vỹ|Việt Nam/An Giang/Huyện Châu Phú
wTXAiDfabzT|Xã Vĩnh Thạnh Trung|Việt Nam/An Giang/Huyện Châu Phú
n3jHM5TxNgs|Xã Thạnh Mỹ Tây|Việt Nam/An Giang/Huyện Châu Phú
eCA1e2xFUwF|Xã Mỹ Đức|Việt Nam/An Giang/Huyện Châu Phú
o6RsKSLH1gq|Xã Mỹ Phú|Việt Nam/An Giang/Huyện Châu Phú
p5J5grSR7nb|Xã Khánh Hòa|Việt Nam/An Giang/Huyện Châu Phú
rPkn7Mu7r1u|Xã Bình Thủy|Việt Nam/An Giang/Huyện Châu Phú
sWGDZiheQ58|Xã Bình Phú|Việt Nam/An Giang/Huyện Châu Phú
iYkskhvbf0h|Xã Bình Mỹ|Việt Nam/An Giang/Huyện Châu Phú
hW4RSMqrULB|Xã Bình Long|Việt Nam/An Giang/Huyện Châu Phú
pRypKwEXTp1|Xã Bình Chánh|Việt Nam/An Giang/Huyện Châu Phú
umPHDDFsvpA|TTYT Huyện Châu Phú|Việt Nam/An Giang/Huyện Châu Phú
t9NtqyApKQj|Thị trấn Cái Dầu|Việt Nam/An Giang/Huyện Châu Phú
i7t9qfKQHpg|Phòng y tế Huyện Châu Phú|Việt Nam/An Giang/Huyện Châu Phú
Dum5CiPY2le|Phòng khám ĐKKV Thạnh Mỹ Tây (Sáp nhập 2020)|Việt Nam/An Giang/Huyện Châu Phú
