id|name|ancestors
T4hQeKvy8KI|Đồng Tháp|Việt Nam

mQwBhiRXAqY|Đồng Nai|Việt Nam

eyKD8PvVOO4|Đắk Nông|Việt Nam

Y2AZV0a1Oyj|Đắk Lắk|Việt Nam

QqvBYSvbeNj|Đà Nẵng|Việt Nam

GeDxqlWLx9Q|Điện Biên|Việt Nam

DJptEDkQmc4|Yên Bái|Việt Nam

VOIqdFpPXFq|Vĩnh Phúc|Việt Nam

MDVatffMnzo|Vĩnh Long|Việt Nam

mlcepxdsrJK|Tây Ninh|Việt Nam

uglfBEIDXHY|Tuyên Quang|Việt Nam

wJorKSdTSu2|Trà Vinh|Việt Nam

BeoEarCsP0N|Tiền Giang|Việt Nam

N9g8JZ96gOs|Thừa Thiên Huế|Việt Nam

d5GgtJKn0Px|Thái Nguyên|Việt Nam

ZF5pyHp7GUK|Thái Bình|Việt Nam

KbhAlx7J8c7|Thanh Hóa|Việt Nam

pajSJ8hWr1F|Sơn La|Việt Nam

ArAFMKW35CK|Sóc Trăng|Việt Nam

LaCv5lKNIBi|Quảng Trị|Việt Nam

LNFIrnLxCxk|Quảng Ninh|Việt Nam

T6PENxhvy8Z|Quảng Ngãi|Việt Nam

W449B0OhNyD|Quảng Nam|Việt Nam

m7LXwFuxtUy|Quảng Bình|Việt Nam

jpN36u4t33g|Phú Yên|Việt Nam

Z7CRWOY8WZM|Phú Thọ|Việt Nam

oHhDOTe7fB3|Ninh Thuận|Việt Nam

ptFYxVC01Dh|Ninh Bình|Việt Nam

ZJAerHIZ8Ch|Nghệ An|Việt Nam

tAGHn8IltiO|Nam Định|Việt Nam

VjdV70J3HnU|Lạng Sơn|Việt Nam

EStgnLIUVcQ|Lâm Đồng|Việt Nam

Loz5sNNUEKt|Lào Cai|Việt Nam

vFyCX3tmIlN|Long An|Việt Nam

f16CpwI7Z8b|Lai Châu|Việt Nam

wewvAuC7kVe|Kon Tum|Việt Nam

pbBzw7Mxdcp|Kiên Giang|Việt Nam

xs3U9jOo6T0|Khánh Hòa|Việt Nam

oVBHhZ43yPD|Hồ Chí Minh|Việt Nam

e3WipXxPCgj|Hậu Giang|Việt Nam

jdW4qKTHtRd|Hải Phòng|Việt Nam

ZDnpYf8xF3N|Hải Dương|Việt Nam

WOzUSf72GLJ|Hưng Yên|Việt Nam

HKWxMJZWw2y|Hòa Bình|Việt Nam

rVwEOBkBMc5|Hà Tĩnh|Việt Nam

kyTR47jtla2|Hà Nội|Việt Nam

Ysn2ITT5OZR|Hà Nam|Việt Nam

nmijk75Nfap|Hà Giang|Việt Nam

lXnhf8MolUv|Gia Lai|Việt Nam

OQ3zNIHUm6b|Cần Thơ|Việt Nam

ISsmukUNfU8|Các đơn vị trực thuộc Bộ|Việt Nam

rY8ZzbdZcim|Các đơn vị thuộc Bộ|Việt Nam

tkjhRCAQn8b|Cà Mau|Việt Nam

rnDtB1wpoGc|Cao Bằng|Việt Nam

uf7ebucWAG0|Bến Tre|Việt Nam

kxJqRG6smMB|Bắc Ninh|Việt Nam

X9S3sMrxHkI|Bắc Kạn|Việt Nam

bvuFKVVCZxg|Bắc Giang|Việt Nam

g2S76y4JDTo|Bạc Liêu|Việt Nam

TqoasbvLrM5|Bình Định|Việt Nam

aheT3Akf5kM|Bình Thuận|Việt Nam

ECXvzGHClbu|Bình Phước|Việt Nam

FSr4tndBddw|Bình Dương|Việt Nam

BHQmfUcKfm1|Bà Rịa - Vũng Tàu|Việt Nam

uAsdFJIqElU|An Giang|Việt Nam

