id	name	ancestors	
A05VdBp3kOi	Trung tâm phòng, chống HIV/AIDS	Việt Nam/Hải Phòng	
A0ghknmnKUH	Huyện Quảng Hòa	Việt Nam/Cao Bằng	
a0sADtysKW4	Bệnh Viện Mắt	Việt Nam/Vĩnh Long	
a240benSBiP	Ban Bảo vệ chăm sóc sức khỏe cán bộ tỉnh Bình Dương	Việt Nam/Bình Dương	
a40cRBuvMno	Trung tâm Kiểm nghiệm Thuốc, Mỹ phẩm, Thực phẩm	Việt Nam/Hồ Chí Minh	
a4ErzeEFbuT	Chi cục An toàn vệ sinh thực phẩm	Việt Nam/Bến Tre	
A5cMayOCg1x	Huyện Thiệu Hóa	Việt Nam/Thanh Hóa	
a5nRyvlCx2j	Huyện Quỳ Châu	Việt Nam/Nghệ An	
A5RnsLVUU9h	Bệnh viện Phổi	Việt Nam/Hải Phòng	
A5YPUkUgJw5	Tổ Quân y cơ quan Biên Phòng	Việt Nam/Cà Mau	
a8o2hEL6glk	Bệnh viện GPTM Thanh Vân	Việt Nam/Hồ Chí Minh	
a8Tp5nzwJ3Z	Trung tâm Kiểm soát bệnh tật TP. HCM	Việt Nam/Hồ Chí Minh	
a8u1DNKE4aS	Thị xã Thái Hoà	Việt Nam/Nghệ An	
A9F20bsUVKL	Bệnh viện Phổi	Việt Nam/Quảng Ninh	
A9OgbWQAmKI	Bệnh viện Tai Mũi Họng	Việt Nam/Cần Thơ	
aAamraU1v9c	Thị xã Đồng Xoài	Việt Nam/Bình Phước	
aAjr1bq0Vve	Huyện Đức Thọ	Việt Nam/Hà Tĩnh	
ABEUBxiFJmx	Bệnh viện đa khoa tỉnh 	Việt Nam/Thanh Hóa	
aBNXHrnfpvB	Bệnh viện Sản Nhi 	Việt Nam/Quảng Ninh	
AbVXbXsXr6W	Trung tâm kiểm soát bệnh tật Hà Tĩnh	Việt Nam/Hà Tĩnh	
aBY9QPWtb1J	Chi cục Dân số kế hoạch hóa gia đình	Việt Nam/Long An	
acArBypxBai	Huyện Đồng Phú	Việt Nam/Bình Phước	
ACGQdwptVVf	Trung tâm Kiểm nghiệm Thuốc - Mỹ phẩm - Thực phẩm	Việt Nam/Cần Thơ	
ad3jvjlFUlc	Bệnh viện Việt Nam Thụy Điển Uông Bí 	Việt Nam/Quảng Ninh	
AdiEbfP2eUt	Bệnh viện YHCT	Việt Nam/Hà Nam	
aeFDbmPncpC	Trung tâm Quân dân y Bạch Long Vỹ	Việt Nam/Hải Phòng	
AenaWa8Y7FL	Huyện Chi Lăng	Việt Nam/Lạng Sơn	
AFk23gbqQJ7	Bệnh viện Tim Hà Nội	Việt Nam/Hà Nội	
Agl4qD1mdy8	Bệnh viện Y học cổ truyền	Việt Nam/Lai Châu	
aGsRMRjrxCa	Trung tâm Giám định Y khoa (Sáp nhập 2020)	Việt Nam/Hậu Giang	
ah5UXWorbRs	Bệnh Viện Gang Thép 	Việt Nam/Thái Nguyên	
Ahz5NiCQvM0	Trung tâm Pháp y	Việt Nam/Yên Bái	
aIIEIAbd0Zl	Bệnh viện Đa khoa Hồng Đức	Việt Nam/Hải Phòng	
AiLCOwLkOVj	Bệnh viện Ung Bướu	Việt Nam/Hồ Chí Minh	
AiVSwyfMEbb	Bệnh viện Việt Bắc	Việt Nam/Thái Nguyên	
AJ6kTCTicsb	Trung tâm Phòng chống HIV/AIDS tỉnh Lào Cai	Việt Nam/Lào Cai	
aJayL9NDo6Q	Trung tâm Giám định Y khoa	Việt Nam/Vĩnh Phúc	
AJbnzHEOQ8n	Bệnh viện Đa khoa tỉnh Ninh Thuận	Việt Nam/Ninh Thuận	
AjwmwcvQDU4	Bệnh viện Nhân dân 115	Việt Nam/Hồ Chí Minh	
ak0RaLIagOU	Chi cục An toàn Vệ sinh thực phẩm 	Việt Nam/Quảng Ngãi	
AkBWxRAy4S3	Huyện Châu Thành	Việt Nam/Bến Tre	
AKxHaxMvvd6	Bệnh viện Tâm Thần	Việt Nam/Hồ Chí Minh	
aKziHf40GBw	Bệnh viện đa khoa Bình Dân	Việt Nam/An Giang	
