
oPz2zI7WjGR|Phòng khám ĐKKV An Châu |Việt Nam/An Giang/Huyện Châu Thành
BCVhRd3UO2G|Phòng khám ĐKKV Đồng Ky |Việt Nam/An Giang/Huyện An Phú
SouMxW8PKTH|Phòng khám ĐKKV Long Giang |Việt Nam/An Giang/Huyện Chợ Mới
or9hopOQOsy|Phòng khám ĐKKV Mỹ Luông |Việt Nam/An Giang/Huyện Chợ Mới
qeBWV75wC9e|Phòng khám ĐKKV Óc Eo |Việt Nam/An Giang/Huyện Thoại Sơn
Dum5CiPY2le|Phòng khám ĐKKV Thạnh Mỹ Tây |Việt Nam/An Giang/Huyện Châu Phú
i9laNHKYNET|Phòng khám ĐKKV Tịnh Biên |Việt Nam/An Giang/Huyện Tịnh Biên
zvPwwNGAMbR|Phòng khám ĐKKV Vĩnh Hòa |Việt Nam/An Giang/Thị xã Tân Châu
VOhCDrFeUwL|Phòng y tế Huyện An Phú|Việt Nam/An Giang/Huyện An Phú
i7t9qfKQHpg|Phòng y tế Huyện Châu Phú|Việt Nam/An Giang/Huyện Châu Phú
wwhuzgZMxGb|Phòng y tế Huyện Châu Thành|Việt Nam/An Giang/Huyện Châu Thành
bUlAd0B52VD|Phòng y tế Huyện Chợ Mới|Việt Nam/An Giang/Huyện Chợ Mới
vU2ducJiHqx|Phòng y tế Huyện Phú Tân|Việt Nam/An Giang/Huyện Phú Tân
NllmaiOTckB|Phòng y tế Huyện Thoại Sơn|Việt Nam/An Giang/Huyện Thoại Sơn
bA7NdecrIE9|Phòng y tế Huyện Tịnh Biên|Việt Nam/An Giang/Huyện Tịnh Biên
hfOq94xSLX8|Phòng y tế Huyện Tri Tôn|Việt Nam/An Giang/Huyện Tri Tôn
aEHzJiOALDM|Phòng y tế Thành phố Châu Đốc|Việt Nam/An Giang/Thành phố Châu Đốc
IvYQGk3g3gf|Phòng y tế Thành phố Long Xuyên|Việt Nam/An Giang/Thành phố Long Xuyên
kjtWteOoIZ2|Phòng y tế Thị xã Tân Châu|Việt Nam/An Giang/Thị xã Tân Châu
XNrxDPNZqMK|Phường Bình Đức|Việt Nam/An Giang/Thành phố Long Xuyên
ds8dSnXzkga|Phường Bình Khánh|Việt Nam/An Giang/Thành phố Long Xuyên
pISrgsPKiKl|Phường Châu Phú A|Việt Nam/An Giang/Thành phố Châu Đốc
WBtyDZiXImQ|Phường Châu Phú B|Việt Nam/An Giang/Thành phố Châu Đốc
LsxL32CZRtg|Phường Đông Xuyên|Việt Nam/An Giang/Thành phố Long Xuyên
yk9jvWItg6Z|Phường Long Châu|Việt Nam/An Giang/Thị xã Tân Châu
UUbB4wNtv3J|Phường Long Hưng|Việt Nam/An Giang/Thị xã Tân Châu
xF7EG6jKfGR|Phường Long Phú|Việt Nam/An Giang/Thị xã Tân Châu
AniNiDnBD9a|Phường Long Sơn|Việt Nam/An Giang/Thị xã Tân Châu
pZF00dUmuTJ|Phường Long Thạnh|Việt Nam/An Giang/Thị xã Tân Châu
hwPGZmkg8Oz|Phường Mỹ Bình|Việt Nam/An Giang/Thành phố Long Xuyên
CIbSUaRp5Or|Phường Mỹ Hòa|Việt Nam/An Giang/Thành phố Long Xuyên
eERFCGxvzQg|Phường Mỹ Long|Việt Nam/An Giang/Thành phố Long Xuyên
DUACL8PEWby|Phường Mỹ Phước|Việt Nam/An Giang/Thành phố Long Xuyên
rdCAmwINdLE|Phường Mỹ Quý|Việt Nam/An Giang/Thành phố Long Xuyên
o5AFgPXNwX1|Phường Mỹ Thạnh|Việt Nam/An Giang/Thành phố Long Xuyên
ihQbtsXW01b|Phường Mỹ Thới|Việt Nam/An Giang/Thành phố Long Xuyên
T2yJh02sQBT|Phường Mỹ Xuyên|Việt Nam/An Giang/Thành phố Long Xuyên
pnZh7qRJq2I|Phường Núi Sam|Việt Nam/An Giang/Thành phố Châu Đốc
zcrJQrZ6tlA|Phường Vĩnh Mỹ|Việt Nam/An Giang/Thành phố Châu Đốc
Ppk2U1cK36v|Phường Vĩnh Ngươn|Việt Nam/An Giang/Thành phố Châu Đốc
G0YNdUlxNuI|Thị trấn An Châu|Việt Nam/An Giang/Huyện Châu Thành
VRfoGqbijpS|Thị trấn An Phú|Việt Nam/An Giang/Huyện An Phú
qjo9Ng6n6l7|Thị trấn Ba Chúc|Việt Nam/An Giang/Huyện Tri Tôn
t9NtqyApKQj|Thị trấn Cái Dầu|Việt Nam/An Giang/Huyện Châu Phú
xdybnFpAdG4|Thị trấn Chi Lăng|Việt Nam/An Giang/Huyện Tịnh Biên
O60A64VZTjM|Thị trấn Chợ Mới|Việt Nam/An Giang/Huyện Chợ Mới
BcKHMitfdD0|Thị trấn Chợ Vàm|Việt Nam/An Giang/Huyện Phú Tân
cAezjc24Nnh|Thị trấn Long Bình|Việt Nam/An Giang/Huyện An Phú
s3VkPKNuiSE|Thị trấn Mỹ Luông|Việt Nam/An Giang/Huyện Chợ Mới
AqrtFS2uUe3|Thị trấn Nhà Bàng|Việt Nam/An Giang/Huyện Tịnh Biên
u9QXfcUzeO7|Thị trấn Núi Sập|Việt Nam/An Giang/Huyện Thoại Sơn
ScSQjHszXf1|Thị Trấn Óc Eo|Việt Nam/An Giang/Huyện Thoại Sơn
wltFn4MNe0a|Thị Trấn Phú Hòa|Việt Nam/An Giang/Huyện Thoại Sơn
GPowYwIUS1p|Thị trấn Phú Mỹ|Việt Nam/An Giang/Huyện Phú Tân
BG25MCJTr3t|Thị trấn Tịnh Biên|Việt Nam/An Giang/Huyện Tịnh Biên
Ef5A77H53cP|Thị trấn Tri Tôn|Việt Nam/An Giang/Huyện Tri Tôn
TNxHOJwYsaX|TTYT Huyện An Phú|Việt Nam/An Giang/Huyện An Phú
umPHDDFsvpA|TTYT Huyện Châu Phú|Việt Nam/An Giang/Huyện Châu Phú
cqe2YQlkYpZ|TTYT Huyện Châu Thành|Việt Nam/An Giang/Huyện Châu Thành
RJMyHkiVZfK|TTYT Huyện Chợ Mới|Việt Nam/An Giang/Huyện Chợ Mới
qln1vvxeqMr|TTYT Huyện Tri Tôn|Việt Nam/An Giang/Huyện Tri Tôn
VBCtXT2deNk|TTYT Thành phố Châu Đốc|Việt Nam/An Giang/Thành phố Châu Đốc
W5bYAA99pOK|TTYT Thành phố Long Xuyên|Việt Nam/An Giang/Thành phố Long Xuyên
l11GZOldSrG|TTYT Thị xã Tân Châu|Việt Nam/An Giang/Thị xã Tân Châu
zDrBdvPmVAN|Xã An Bình|Việt Nam/An Giang/Huyện Thoại Sơn
JpEvzmQPrKP|Xã An Cư|Việt Nam/An Giang/Huyện Tịnh Biên
A9TTy61HhWT|Xã An Hảo|Việt Nam/An Giang/Huyện Tịnh Biên
scdQ3JZXVZf|Xã An Hòa|Việt Nam/An Giang/Huyện Châu Thành
PGEUP9liAbu|Xã An Nông|Việt Nam/An Giang/Huyện Tịnh Biên
OLjPujdfMjA|Xã An Phú|Việt Nam/An Giang/Huyện Tịnh Biên
s0fhED6Ssi4|Xã An Thạnh Trung|Việt Nam/An Giang/Huyện Chợ Mới
W3ixhlYABQg|Xã An Tức|Việt Nam/An Giang/Huyện Tri Tôn
pRypKwEXTp1|Xã Bình Chánh|Việt Nam/An Giang/Huyện Châu Phú
ThmgypAOtFe|Xã Bình Hòa|Việt Nam/An Giang/Huyện Châu Thành
hW4RSMqrULB|Xã Bình Long|Việt Nam/An Giang/Huyện Châu Phú
iYkskhvbf0h|Xã Bình Mỹ|Việt Nam/An Giang/Huyện Châu Phú
sWGDZiheQ58|Xã Bình Phú|Việt Nam/An Giang/Huyện Châu Phú
P4QWrvQVbRQ|Xã Bình Phước Xuân|Việt Nam/An Giang/Huyện Chợ Mới
bN765ZuykmB|Xã Bình Thành|Việt Nam/An Giang/Huyện Thoại Sơn
WHlDaK1XI4Q|Xã Bình Thạnh|Việt Nam/An Giang/Huyện Châu Thành
s7aY61ZrMCw|Xã Bình Thạnh Đông|Việt Nam/An Giang/Huyện Phú Tân
rPkn7Mu7r1u|Xã Bình Thủy|Việt Nam/An Giang/Huyện Châu Phú
qmho9XBhBNM|Xã Cần Đăng|Việt Nam/An Giang/Huyện Châu Thành
PaGuFlEdS90|Xã Châu Lăng|Việt Nam/An Giang/Huyện Tri Tôn
Nd6fvXeEt3I|Xã Châu Phong|Việt Nam/An Giang/Thị xã Tân Châu
emoETjH9nU5|Xã Cô Tô|Việt Nam/An Giang/Huyện Tri Tôn
pfOStvn0mrx|Xã Đào Hữu Cảnh|Việt Nam/An Giang/Huyện Châu Phú
B1Vl8Epj9rN|Xã Đa Phước|Việt Nam/An Giang/Huyện An Phú
w1Jh4qkYYlB|Xã Định Mỹ|Việt Nam/An Giang/Huyện Thoại Sơn
mEFDdbKauMT|Xã Định Thành|Việt Nam/An Giang/Huyện Thoại Sơn
TbZnMM8nRnq|Xã Hiệp Xương|Việt Nam/An Giang/Huyện Phú Tân
UgKQvyV3lei|Xã Hòa An|Việt Nam/An Giang/Huyện Chợ Mới
oywCRpLYfCF|Xã Hòa Bình|Việt Nam/An Giang/Huyện Chợ Mới
YRI4BfWJ7ur|Xã Hòa Bình Thạnh|Việt Nam/An Giang/Huyện Châu Thành
KCIIq9TQvgV|Xã Hòa Lạc|Việt Nam/An Giang/Huyện Phú Tân
